통계표,계정항목,단위,가중치,변환,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25,Jan-26
4.2.1. 소비자물가지수,        쌀,2020=100,4.2,원자료,99.88,100.89,102.05,102.76,104.69,107.93,109.69,113.98,120.31,118.42,117.5,116.84
4.2.1. 소비자물가지수,        두부,2020=100,1.2,원자료,117.12,110.36,110.91,110.98,110.36,111.01,110.16,109.93,110.13,109.36,108.28,109.1
4.2.1. 소비자물가지수,      육류,2020=100,28.6,원자료,118.1,117.55,118.69,120.63,121.95,122.19,124.61,124.76,125.69,123.03,124.07,124.22
4.2.1. 소비자물가지수,        달걀,2020=100,3,원자료,132.71,131.93,136.98,139.36,142.49,144.79,145.31,145.9,144.62,144.25,143.52,142.34
4.2.1. 소비자물가지수,      식용유지,2020=100,1.4,원자료,168.22,165.62,166.21,161.76,159.86,156.09,158.49,159,155.5,157.5,153.67,154.17
4.2.1. 소비자물가지수,        배,2020=100,0.7,원자료,188.44,190.06,191.32,182.17,178.05,169.04,153.34,132.03,133.78,127.46,128.88,133.57
4.2.1. 소비자물가지수,      채소 및 해조,2020=100,15.7,원자료,134.13,134.7,123.47,110.19,103.9,107.86,126.03,129.48,128.45,123.34,119.59,122.82
4.2.1. 소비자물가지수,      기타 식료품,2020=100,15.7,원자료,121.68,122.62,123.55,123.49,123.54,123.5,124.39,124.17,123.73,123.8,123.94,125.18
4.2.1. 소비자물가지수,        탄산음료,2020=100,1.6,원자료,120.02,120.35,119.6,117.44,120.24,117.83,117.89,116.97,115.71,118.66,119.88,120.34
4.2.1. 소비자물가지수,      주류,2020=100,6.5,원자료,112.09,112.17,112.33,112.61,112.91,112.93,113,113.37,113.49,112.9,112.3,113.44
